ClericalStaff1,11,aigneis.ventura@msn.com,http://h5ea1TeekZ4cF2.com,4831737559186786281,5701084747278189804,Aigneis Ventura,Garnette Ketsler,University1,AdministrativeStaff26,FullProfessor22,Institute9,University1,University1,Organization1,College82,University1
ClericalStaff2,36,alyssa.vonderhaar@hush.com,http://53J2Fg.com,1569413777570821975,4215370590876552441,Alyssa Vonderhaar,Wynn Cioffi,University1,SystemsStaff22,AssociateProfessor19,Program20,University1,University1,Organization1,Organization1,University1
ClericalStaff3,3,jeremy.donner@aim.com,http://pVV7kjaogNS3.com,8812470672344516042,-1429679602819017316,Jeremy Donner,Maiga Schledwitz,University1,College17,Professor7,Institute3,University1,University1,University1,ResearchGroup2,University1
ClericalStaff4,60,domenick.borum@aim.com,http://X2GH3cGcuAYEU.com,-4062704329736570888,1659374997454216233,Domenick Borum,Britt Alcott,University1,GraduateStudent208,FullProfessor25,Organization1,University1,University1,University1,ResearchGroup1,University1
ClericalStaff5,54,colli.stallabrass@safe-mail.net,http://aj0Lx.com,5559058975858380745,8935281951326695489,Colli Stallabrass,Stacie Shutler,University1,Faculty11,AssociateProfessor4,ResearchGroup2,University1,University1,Institute11,ResearchGroup2,University1
ClericalStaff6,32,errol.simard-normandin@gmail.com,http://dokBaqn.com,9217862768660737001,-8446171872904591851,Errol Simard-Normandin,Salome Venning,University1,ConferencePaper147,FullProfessor4,Program10,University1,University1,University1,Program1,University1
ClericalStaff7,48,jonie.vasile@msn.com,http://NiG2D.com,4801485813652104416,1442538614844489537,Jonie Vasile,Dee Louladakis,University1,University1,FullProfessor23,Department7,University1,University1,University1,Organization1,University1
ClericalStaff8,67,selina.bolsinger@mail.com,http://4AXaNC.com,-4616465416146511952,-7896891464762914832,Selina Bolsinger,Sorin Antkowiak,University1,ClericalStaff17,AssociateProfessor11,University1,University1,University1,College94,Department6,University1
ClericalStaff9,66,christophe.lande@hush.com,http://eakcNuaeuv.com,4233941625742679629,5583530017181644060,Christophe Lande,Constance Guciz,University1,GraduateStudent227,Dean9,Department4,University1,University1,College34,Organization1,University1
ClericalStaff10,35,anthiathia.danzeisen@gmx.net,http://46JdvNMc2WZ91MI.com,2983836951997030927,4585738427261314947,Anthiathia Danzeisen,Elvira Willekes,University1,Specification11,Dean14,University1,University1,University1,Institute10,Program6,University1
ClericalStaff11,37,angie.silverstone@mail.com,http://fayiW2wY.com,-1222850256836913017,-4384194593398689891,Angie Silverstone,Robb Croisetiere,University1,Organization1,VisitingProfessor13,University1,University1,University1,ResearchGroup3,College6,University1
ClericalStaff12,51,constance.lett@aol.com,http://LE0QCiI.com,-4043751868695306817,-7762123577070881215,Constance Lett,Dwain Banks,University1,AdministrativeStaff7,Dean9,Organization1,University1,University1,Organization1,Organization1,University1
ClericalStaff13,43,elisabet.wessels@rocketmail.com,http://ZSLCmYBAy.com,-8164230510481820648,9116135970691893728,Elisabet Wessels,Rosabella Kurdziel,University1,Dean16,AssociateProfessor20,Organization1,University1,University1,Organization1,University1,University1
ClericalStaff14,60,berger.lemaire@aim.com,http://yZf5R.com,-367779407806767812,2548114730250602040,Berger Lemaire,Olimpia Mojgani,University1,JournalArticle8,FullProfessor8,Department6,University1,University1,Program9,College22,University1
ClericalStaff15,17,maryjane.l'anglais@safe-mail.net,http://MPd2tlwdiA7SX.com,5717082674121855039,6330110372246622725,Maryjane L'Anglais,Germain Health-Safety,University1,Person182,AssistantProfessor5,ResearchGroup12,University1,University1,ResearchGroup3,Program15,University1
ClericalStaff16,53,gia.sethian@mail.com,http://gg8MwjAA5.com,-1187269411533063232,7646061894193542623,Gia Sethian,Alvira Zantiris,University1,Program1,VisitingProfessor1,Institute18,University1,University1,Program2,ResearchGroup1,University1
ClericalStaff17,4,montreal.krawchuk@fastmail.com,http://zhy5UbQXICd.com,-5280800929579447160,7671965045201158589,Montreal Krawchuk,Wenxi Lobaugh,University1,FullProfessor1,Chair6,Program3,University1,University1,Institute4,Organization1,University1
ClericalStaff18,60,open.meisner@gmx.net,http://b8OQq5D9UNJ1TOG.com,-874105465920281146,8888375776440079893,Open Meisner,Kora Iversen,University1,Chair12,FullProfessor9,Organization1,University1,University1,ResearchGroup3,Institute2,University1
ClericalStaff19,53,geoff.nowell@fastmail.com,http://bReIKizk.com,-3414762628434354766,3632338375936820060,Geoff Nowell,Keltouma Roche,University1,ClericalStaff1,Professor20,Program6,University1,University1,Institute11,Program6,University1
ClericalStaff20,46,catlee.fantauzzi@mail.com,http://PhAOnnU.com,8909398935155638177,-546374922130230582,Catlee Fantauzzi,Mounir Filson,University1,Course30,AssociateProfessor3,Organization1,University1,University1,Institute16,University1,University1
