TeachingAssistant1,31,christabel.boulos@msn.com,http://evUpX6MydC9wZy.com,7369726333085889051,8417757107925194457,Christabel Boulos,Lian-Hong Ngo,University1,SystemsStaff19,Dean14,University1,GraduateCourse11,University1,University1,University1
TeachingAssistant2,32,norvie.skedelsky@yahoo.com,http://ecHOT63.com,1113555561806079014,-74497103296230999,Norvie Skedelsky,Cassondra Cranston,University1,Book22,Dean2,University1,Course25,University1,University1,University1
TeachingAssistant3,58,patty.feder@netdove.net,http://aXZaoj.com,341846822706813646,6432672344289877557,Patty Feder,Joelynn Babcock,University1,Book11,Dean19,University1,GraduateCourse24,University1,Institute1,University1
TeachingAssistant4,63,dixie.jennette@netdove.net,http://Uih3U15uRt9Hr.com,2168243596003467082,8019764986165028844,Dixie Jennette,Chabane Coules,University1,Work58,VisitingProfessor4,University1,GraduateCourse2,University1,University1,University1
TeachingAssistant5,42,kieron.gowin@live.com,http://EvK0mdithYG.com,1894502351778514331,2410280588607035315,Kieron Gowin,Sada Kuniyasu,University1,College97,AssociateProfessor3,University1,Course12,University1,ResearchGroup10,University1
TeachingAssistant6,34,frankie.curtis@hotmail.com,http://XODKpcoiYsMFdw.com,-5512323069246622267,-9009402018805345881,Frankie Curtis,Celisse Dasilva,University1,TeachingAssistant22,AssociateProfessor5,University1,GraduateCourse19,University1,Institute12,University1
TeachingAssistant7,35,zarah.sunderland@msn.com,http://Zv8nk9JFUG.com,2514045076136565604,-172058691318844014,Zarah Sunderland,Darline Helgeland,University1,Article4,VisitingProfessor10,University1,GraduateCourse19,University1,University1,University1
TeachingAssistant8,46,celine.della@msn.com,http://Nlb8Nx7z6.com,-6799389460673302412,-2938077964800385207,Celine Della,Maggee Majumdar,University1,Organization1,Chair3,University1,GraduateCourse30,University1,Department2,University1
TeachingAssistant9,59,jap.abbatantuono@gmail.com,http://nK3UfxcF44.com,1108177137519784015,7269939905679612487,Jap Abbatantuono,Emmi D'Souza,University1,Program18,AssociateProfessor6,University1,GraduateCourse14,University1,Program3,University1
TeachingAssistant10,50,voort.pierson@netdove.net,http://bJykthyS5.com,-3037302598483556878,-2660088592004883212,Voort Pierson,Doris Szymanski,University1,Director11,AssociateProfessor7,University1,GraduateCourse1,University1,Institute17,University1
